document_a,document_b,jaccard_similarity,text_a,text_b
2330,2566,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
3019,4378,0.6,The latest on stock market and business news during the coronavirus outbreak.,Live updates on stock market and business news during the coronavirus outbreak.
2330,2575,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
295,1103,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
2566,3089,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
295,1844,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
1103,1142,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
1142,4480,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
521,1689,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
167,1844,1.0,The latest on stock market and business news during the coronavirus outbreak.,The latest on stock market and business news during the coronavirus outbreak.
3141,3860,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
415,2574,0.5925925925925926,"A new program lets students customize their meals, participate in taste tests and brainstorm ways to redesign their school cafeterias.","A new program lets students customize their meals, participate in taste tests and brainstorm ways to redesign their school cafeterias. Would you like to see this program come to your school?"
365,4977,1.0,"Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation.","Teenage comments in response to our recent writing prompts, and an invitation to join the ongoing conversation."
4039,4573,1.0,"Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see."
